Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/07/2025,08/08/2025,SPEEDWAY 44934,Gas,Sale,-34.09,
08/04/2025,08/05/2025,STATEMENT CREDIT,Fees & Adjustments,Adjustment,151.99,
08/03/2025,08/05/2025,SHADOW LAKE,Food & Drink,Sale,-40.00,
08/04/2025,08/05/2025,HAIRZOO - EAST ROCHESTER,Personal,Sale,-31.00,
08/02/2025,08/03/2025,SPEEDWAY 44934,Gas,Sale,-12.47,
08/01/2025,08/03/2025,SUPABASE,Shopping,Sale,-25.00,
08/01/2025,08/03/2025,GOOGLE *CLOUD S5TF39,Shopping,Sale,-49.26,
08/01/2025,08/01/2025,DIGITALOCEAN.COM,Shopping,Sale,-40.00,
07/31/2025,07/31/2025,Payment Thank You-Mobile,,Payment,325.12,
07/30/2025,07/30/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.60,
07/26/2025,07/28/2025,LEGENDS@YANKEE STDM-CO,Food & Drink,Sale,-17.41,
07/27/2025,07/28/2025,MTA*MNR ETIX TICKET,Travel,Sale,-5.00,
07/26/2025,07/28/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
07/27/2025,07/28/2025,MTA*MNR ETIX TICKET,Travel,Sale,-30.00,
07/26/2025,07/28/2025,MTA*MNR STATION TIX,Travel,Sale,-17.75,
07/26/2025,07/27/2025,AG TRAVEL PLAZA 3601501,Groceries,Sale,-11.85,
07/26/2025,07/27/2025,SEATGEEK TICKETS,Entertainment,Sale,-53.25,
07/27/2025,07/27/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
07/25/2025,07/27/2025,PRICE CHOPPER #213,Groceries,Sale,-13.76,
07/26/2025,07/27/2025,MLB STORE,Shopping,Sale,-79.99,
07/26/2025,07/27/2025,DUNKIN #332121 Q35,Food & Drink,Sale,-17.25,
07/26/2025,07/27/2025,SQ *SHAKE SHACK,Food & Drink,Sale,-7.07,
07/24/2025,07/25/2025,SPEEDWAY 44934,Gas,Sale,-40.89,
07/18/2025,07/20/2025,GRADGUARD* GRADGUARD A,Professional Services,Sale,-3.50,
07/15/2025,07/15/2025,Payment Thank You-Mobile,,Payment,310.99,
07/10/2025,07/11/2025,HAIRZOO - EAST ROCHESTER,Personal,Sale,-26.00,
07/08/2025,07/09/2025,CREEM.IO*AI VIDEO GENE,Shopping,Sale,-99.90,
07/04/2025,07/06/2025,COUNTRY CORNER STORE,Gas,Sale,-1.39,
07/03/2025,07/04/2025,SPEEDWAY 44980,Gas,Sale,-34.96,
07/02/2025,07/02/2025,HELP.MAX.COM,Entertainment,Sale,-9.99,
07/01/2025,07/01/2025,DIGITALOCEAN.COM,Shopping,Sale,-19.41,
06/30/2025,07/01/2025,SQ *NYC CREPES N SHAKES,Food & Drink,Sale,-10.56,
06/29/2025,06/30/2025,SPEEDWAY 45137,Gas,Sale,-31.82,
